scope,sport,coef,se,mde_80,n_obs,method,ci_low,ci_high,k,q,df,q_pvalue,i2,tau2
input,nfl,0.046437932130558864,0.03636579533557371,0.10182422693960637,1459,,,,,,,,,
input,mlb,-0.018934705008092165,0.015775398016678387,0.04417111444669948,12871,,,,,,,,,
input,nba,0.015389397307571431,0.025630831637215544,0.07176632858420352,6830,,,,,,,,,
input,nhl,0.006571377919684013,0.022650202818754833,0.06342056789251353,6949,,,,,,,,,
4sport,nfl+mlb+nba+nhl,-0.0005742863257342463,0.011012414577397003,,28109,fe,-0.022158618897432373,0.021010046245963882,4.0,3.5132518505706765,3.0,0.31904746305243925,0.14609025267781647,9.371739876568755e-05
4sport,nfl+mlb+nba+nhl,0.0013400611487166159,0.012304082924037646,,28109,re,-0.02277594138239717,0.0254560636798304,4.0,3.5132518505706765,3.0,0.31904746305243925,0.14609025267781647,9.371739876568755e-05
3sport_ex_nhl,nfl+mlb+nba,-0.0027863080087129257,0.012602174300685392,,21160,fe,-0.02748656963805629,0.021913953620630443,3.0,3.3829151026513244,2.0,0.18425077322278252,0.4087939131453459,0.00042245284195279874
3sport_ex_nhl,nfl+mlb+nba,0.0042370805613647184,0.018290525594898504,,21160,re,-0.03161234960463635,0.040086510727365784,3.0,3.3829151026513244,2.0,0.18425077322278252,0.4087939131453459,0.00042245284195279874
