sport,scope,treated_mean,treated_p05,treated_p95,treated_share_zero,control_mean,control_p10,control_overlap,n_treated,n_control
nfl,all_treated,0.06387971701566406,0.0,0.23013820544044863,0.5810276679841897,0.9719355129414726,0.9192412908316081,0.0007662835249042146,253,1305
mlb,all_treated,0.3172373615146145,0.0,0.8478131107275176,0.2718151413803588,0.649413073362138,0.32156202711411663,0.7467438494934877,3289,9674
mlb,2020,0.0,0.0,0.0,1.0,0.649413073362138,0.32156202711411663,0.007339259871821377,862,9674
mlb,2021,0.42991087021902236,0.11490068165131655,0.8730856687241118,0.013185002060156572,0.649413073362138,0.32156202711411663,0.7745503411205292,2427,9674
nba,all_treated,0.07283391808298141,0.0,0.2164424905016626,0.5258620689655172,0.9202407428499387,0.7808156407514892,0.0035708212888964463,1044,5881
nhl,all_treated,0.0617013113029053,0.0,0.2270362317630816,0.6420323325635104,0.9195664556037728,0.7502458599487207,0.005329457364341085,866,6192
