sport,outcome,sample,trend,season_fe,reported,coef,se,ci_low,ci_high,pvalue,n_obs,n_dropped,n_entities,coef_elo_diff,coef_rest_diff,coef_away_travel_km,coef_season_trend
nhl,home_margin,pooled,linear,False,crowd_pct,0.0076503593953387945,0.11545208197072353,-0.2186711944000517,0.23397191319072927,0.9471692664882978,6949,109,32,0.008108825955013424,0.025977561497423994,8.223848784360609e-06,-0.02390473153229434
nhl,home_margin,restricted,linear,False,crowd_pct,-0.010082988883676315,0.1419676252723914,-0.2884415139244501,0.2682755361570975,0.9433838400500703,3183,57,32,0.007850249457882307,0.015809359051995608,2.1624787045045813e-05,-0.0030920290483055397
nhl,home_win,pooled,linear,False,crowd_pct,0.006571377919684013,0.022650202818754833,-0.03782997897417644,0.05097273481354447,0.7717297249117248,6949,109,32,0.0013653340313868262,0.0072975103880560345,5.174127859487078e-06,-0.0057405577181531735
nhl,home_win,restricted,linear,False,crowd_pct,-0.0013110847861190114,0.02721486697866588,-0.054671773301034315,0.05204960372879629,0.9615795811684351,3183,57,32,0.001429239942942553,0.005288772199910825,8.860328279471577e-06,0.0010091562841855264
