sport,outcome,season,is_treated,coef,se,n_obs,ri_pvalue,ri_pvalue_floor
nfl,home_margin,2018,False,3.6973686248415474,1.1650633703471265,1463,0.3333333333333333,0.16666666666666666
nfl,home_margin,2019,False,-1.6199382913655145,0.9282370871105434,1463,0.3333333333333333,0.16666666666666666
nfl,home_margin,2020,True,-1.8020957418106704,1.0516117492086638,1463,0.3333333333333333,0.16666666666666666
nfl,home_margin,2021,False,-0.028218859838485384,0.9520674195395268,1463,0.3333333333333333,0.16666666666666666
nfl,home_margin,2022,False,0.2314485820849539,0.9930913040434725,1463,0.3333333333333333,0.16666666666666666
nfl,home_margin,2023,False,1.3886167668060805,1.391307889931103,1463,0.3333333333333333,0.16666666666666666
nfl,home_win,2018,False,0.12886388675172247,0.03833208975875827,1459,0.3333333333333333,0.16666666666666666
nfl,home_win,2019,False,-0.04832752831213632,0.03316486882783503,1459,0.3333333333333333,0.16666666666666666
nfl,home_win,2020,True,-0.050770833454334724,0.03225963281926828,1459,0.3333333333333333,0.16666666666666666
nfl,home_win,2021,False,-0.042094529179322625,0.027185040650147724,1459,0.3333333333333333,0.16666666666666666
nfl,home_win,2022,False,0.03459076517897476,0.03923617799700902,1459,0.3333333333333333,0.16666666666666666
nfl,home_win,2023,False,0.04995331998187734,0.048350507409310295,1459,0.3333333333333333,0.16666666666666666
mlb,home_margin,2018,False,0.08504946919395165,0.12398031779036688,12871,0.6,0.2
mlb,home_margin,2019,False,-0.16187740417003008,0.11050249165673473,12871,0.6,0.2
mlb,home_margin,2020,True,0.0433358830473159,0.1704353705186051,12871,0.6,0.2
mlb,home_margin,2021,True,0.11508190061131694,0.11287759707174015,12871,0.6,0.2
mlb,home_margin,2022,False,0.027942544775634053,0.10121430420353231,12871,0.6,0.2
mlb,home_margin,2023,False,-0.11718221590882669,0.12176107653106573,12871,0.6,0.2
mlb,home_win,2018,False,-0.01240838091419482,0.016217593594125872,12871,0.4,0.2
mlb,home_win,2019,False,-0.0010095772048867378,0.013378516919947422,12871,0.4,0.2
mlb,home_win,2020,True,0.01364964877323495,0.017062376049474158,12871,0.4,0.2
mlb,home_win,2021,True,0.008865090427191025,0.010406617809905799,12871,0.4,0.2
mlb,home_win,2022,False,0.003305981461248194,0.011204448014172308,12871,0.4,0.2
mlb,home_win,2023,False,-0.01642686515894601,0.013114040845021152,12871,0.4,0.2
nba,home_margin,2018,False,-0.3786253197268485,0.6156464215028357,6830,0.3333333333333333,0.16666666666666666
nba,home_margin,2019,False,0.8231610445501286,0.4958069224833677,6830,0.3333333333333333,0.16666666666666666
nba,home_margin,2020,False,0.3015689438932645,0.5668359881213095,6830,0.3333333333333333,0.16666666666666666
nba,home_margin,2021,True,-1.1383181971090757,0.7999022492722538,6830,0.3333333333333333,0.16666666666666666
nba,home_margin,2022,False,-0.5757148198382351,0.5456730945595242,6830,0.3333333333333333,0.16666666666666666
nba,home_margin,2023,False,1.308052768888718,0.7333807688409859,6830,0.3333333333333333,0.16666666666666666
nba,home_win,2018,False,-0.0017733184375583078,0.02097602150295299,6830,0.6666666666666666,0.16666666666666666
nba,home_win,2019,False,0.027933824800795908,0.0162997003813796,6830,0.6666666666666666,0.16666666666666666
nba,home_win,2020,False,-0.014719552470953221,0.01966615807956755,6830,0.6666666666666666,0.16666666666666666
nba,home_win,2021,True,-0.01648312611789466,0.02258095910555645,6830,0.6666666666666666,0.16666666666666666
nba,home_win,2022,False,-0.029527608605950918,0.016090224167996436,6830,0.6666666666666666,0.16666666666666666
nba,home_win,2023,False,0.050468794364172224,0.021770219749528256,6830,0.6666666666666666,0.16666666666666666
nhl,home_margin,2018,False,-0.03639831791128375,0.12004434888786776,6949,0.5,0.16666666666666666
nhl,home_margin,2019,False,0.02471924786992782,0.09411032656463839,6949,0.5,0.16666666666666666
nhl,home_margin,2020,False,-0.016746467969923448,0.09651180863223528,6949,0.5,0.16666666666666666
nhl,home_margin,2021,True,0.030350016404430292,0.10263930717932324,6949,0.5,0.16666666666666666
nhl,home_margin,2022,False,0.024046835860817628,0.0981384019009365,6949,0.5,0.16666666666666666
nhl,home_margin,2023,False,-0.048506714568562516,0.11921454026256305,6949,0.5,0.16666666666666666
nhl,home_win,2018,False,0.019833915429943134,0.023917831918201213,6949,0.8333333333333334,0.16666666666666666
nhl,home_win,2019,False,-0.01279491793759814,0.01886828635852304,6949,0.8333333333333334,0.16666666666666666
nhl,home_win,2020,False,-0.00912171414431347,0.016797987686894365,6949,0.8333333333333334,0.16666666666666666
nhl,home_win,2021,True,0.0024732548144553103,0.019961776490747856,6949,0.8333333333333334,0.16666666666666666
nhl,home_win,2022,False,0.008126348285127661,0.019684877266664146,6949,0.8333333333333334,0.16666666666666666
nhl,home_win,2023,False,-0.0023812476334492544,0.022546748967446635,6949,0.8333333333333334,0.16666666666666666
