sport,outcome,sample,trend,season_fe,reported,coef,se,ci_low,ci_high,pvalue,n_obs,n_dropped,n_entities,coef_elo_diff,coef_rest_diff,coef_away_travel_km,coef_season_trend
mlb,home_margin,pooled,linear,False,crowd_pct,-0.1447685700775839,0.1606884828062995,-0.4597419093265265,0.17020476917135866,0.36764411228728755,12871,92,30,0.012744196510352655,0.11755810272222235,-2.754414012633988e-05,-0.019358257981422974
mlb,home_margin,restricted,linear,False,crowd_pct,-0.10820147667741224,0.19277376142348318,-0.48608820017451343,0.2696852468196889,0.5746173532326286,8046,62,30,0.011880006190729828,0.16126278128272648,-3.662658182857896e-05,0.02858647010690987
mlb,home_win,pooled,linear,False,crowd_pct,-0.018934705008092165,0.015775398016678387,-0.04985683274567227,0.01198742272948794,0.23005743469149986,12871,92,30,0.0012033929666031326,0.007139754164276076,-1.1664528351444944e-06,-0.0008153709942623341
mlb,home_win,restricted,linear,False,crowd_pct,-0.012364333894598014,0.02063950353080395,-0.05282313029027935,0.028094462501083328,0.5491487508380286,8046,62,30,0.0011133675378085179,0.01279902406327877,-1.5811666348031328e-06,0.0001539151371093857
