sport,outcome,dropped_season,coef,se,coef_base,se_base,delta,delta_over_se_base,n_obs,n_obs_base
nba,home_margin,2019,1.0275235151760118,0.8975243272234282,1.055973260766064,0.893099005265591,-0.02844974559005209,-0.03185508596730736,5619,6830
nba,home_margin,2020,0.9988039563459538,0.9074632460139488,1.055973260766064,0.893099005265591,-0.057169304420110145,-0.06401228092635604,5878,6830
nba,home_margin,2022,1.4492720835124349,0.9407008958420514,1.055973260766064,0.893099005265591,0.39329882274637096,0.440375389993197,5616,6830
nba,home_margin,2023,0.7294043034984199,0.9055881326915375,1.055973260766064,0.893099005265591,-0.326568957267644,-0.36565818049537346,5617,6830
nba,home_win,2018,0.01864987610311834,0.025613482550619807,0.015389397307571431,0.025630831637215544,0.0032604787955469085,0.12720924711677117,5619,6830
nba,home_win,2019,0.01420420406621809,0.02582619912150716,0.015389397307571431,0.025630831637215544,-0.0011851932413533411,-0.0462409202373465,5619,6830
nba,home_win,2020,0.015857053262339958,0.026273268326840602,0.015389397307571431,0.025630831637215544,0.00046765595476852724,0.018245836162783673,5878,6830
nba,home_win,2022,0.025545086444908337,0.026467884928717454,0.015389397307571431,0.025630831637215544,0.010155689137336906,0.3962294037541495,5616,6830
nba,home_win,2023,-0.0018302729700969884,0.026187384640593673,0.015389397307571431,0.025630831637215544,-0.01721967027766842,-0.6718342393801121,5617,6830
nhl,home_margin,2018,-0.015222832170560648,0.12012827262095244,0.0076503593953387945,0.11545208197072353,-0.022873191565899443,-0.19811848496330844,5701,6949
nhl,home_margin,2019,0.004781288598784536,0.11804411661101301,0.0076503593953387945,0.11545208197072353,-0.002869070796554259,-0.024850749744658576,5719,6949
nhl,home_margin,2020,0.026905202726685642,0.11213516084115163,0.0076503593953387945,0.11545208197072353,0.019254843331346846,0.16677779215995006,5901,6949
nhl,home_margin,2022,-0.03723555715505627,0.11562394870413781,0.0076503593953387945,0.11545208197072353,-0.04488591655039506,-0.38878395074570665,5663,6949
nhl,home_margin,2023,0.029818059546929707,0.12933074987961896,0.0076503593953387945,0.11545208197072353,0.022167700151590912,0.19200779902100182,5661,6949
nhl,home_win,2018,-0.0009247598439373797,0.024342844858469846,0.006571377919684013,0.022650202818754833,-0.007496137763621393,-0.33095234614916724,5701,6949
nhl,home_win,2019,0.007916139038267553,0.022576650054301657,0.006571377919684013,0.022650202818754833,0.0013447611185835404,0.05937082017959021,5719,6949
nhl,home_win,2020,0.009988675740800684,0.021531659305805476,0.006571377919684013,0.022650202818754833,0.003417297821116671,0.15087272500213897,5901,6949
nhl,home_win,2022,0.0009490446364909086,0.02332948694007947,0.006571377919684013,0.022650202818754833,-0.005622333283193105,-0.24822441230140763,5663,6949
nhl,home_win,2023,0.005648648399305087,0.025062700963749757,0.006571377919684013,0.022650202818754833,-0.0009227295203789255,-0.04073824538184208,5661,6949
