sport,outcome,sample,hfa_full,hfa_reduced,crowd_effect,se,ci_low,ci_high,pvalue,n_full,n_reduced,n_obs,n_entities
nfl,home_win,pooled,0.551963048498845,0.5039682539682558,0.04799479453058918,0.03674342733087872,-0.024020999706497806,0.12001058876767616,0.1914796512020187,1299,252,1551,33
nfl,home_win,restricted,0.5154440154440156,0.503968253968254,0.011475761475761645,0.03421272752492967,-0.05557995228598269,0.07853147523750598,0.7373054522475085,518,252,770,33
mlb,home_win,pooled,0.5284267107711429,0.5411979325022827,-0.012771221731139804,0.013076984579548737,-0.03840164053344099,0.012859197071161382,0.32875818306490356,9674,3289,12963,30
mlb,home_win,restricted,0.5326831292799329,0.5411979325022769,-0.00851480322234402,0.014513039481477369,-0.03695983791224752,0.019930231467559484,0.5574050708433413,4819,3289,8108,30
nba,home_win,pooled,0.5704812106784538,0.546934865900384,0.023546344778069824,0.03016164006757888,-0.03556938346904502,0.08266207302518468,0.4349954932900755,5881,1044,6925,30
nba,home_win,restricted,0.5477707006369432,0.5469348659003836,0.0008358347365595951,0.02503489341694365,-0.04823165471744885,0.04990332419056803,0.9733661436089837,2198,1044,3242,30
nhl,home_win,pooled,0.5382751937984465,0.5323325635103897,0.005942630288056793,0.02244937758001877,-0.038057341244120954,0.049942601820234536,0.7912309670255553,6192,866,7058,32
nhl,home_win,restricted,0.5345408593091815,0.5323325635103936,0.0022082957987878526,0.022921346592075956,-0.04271671799884093,0.04713330959641664,0.9232486977510013,2374,866,3240,32
