sport,outcome,sample,trend,season_fe,reported,coef,se,ci_low,ci_high,pvalue,n_obs,n_dropped,n_entities,coef_elo_diff,coef_rest_diff,coef_away_travel_km,coef_season_trend
nfl,home_win,pooled,linear,False,crowd_pct,0.046437932130558864,0.03636579533557371,-0.02489847829724135,0.11777434255835909,0.20182240622959569,1459,99,33,0.0009281120426793384,0.006615357343215643,-1.6189454139812348e-05,-0.002072426542284157
nfl,home_win,restricted,linear,False,crowd_pct,-0.0007397844651947464,0.04119919111478278,-0.08163143447109611,0.08015186554070661,0.9856789474877716,724,49,33,0.0009306669806243245,0.0024341261721058595,-1.9330980932844897e-05,3.582096172451738e-05
mlb,home_win,pooled,linear,False,crowd_pct,-0.018934705008092165,0.015775398016678387,-0.04985683274567227,0.01198742272948794,0.23005743469149986,12871,92,30,0.0012033929666031326,0.007139754164276076,-1.1664528351444944e-06,-0.0008153709942623341
mlb,home_win,restricted,linear,False,crowd_pct,-0.012364333894598014,0.02063950353080395,-0.05282313029027935,0.028094462501083328,0.5491487508380286,8046,62,30,0.0011133675378085179,0.01279902406327877,-1.5811666348031328e-06,0.0001539151371093857
nba,home_win,pooled,linear,False,crowd_pct,0.015389397307571431,0.025630831637215544,-0.03485505940127697,0.06563385401641983,0.5482429192324403,6830,95,30,0.0009302565633154437,0.013406686369589258,-8.424949180350076e-06,-0.003436735640641378
nba,home_win,restricted,linear,False,crowd_pct,-0.0007006907891920558,0.026550752802376117,-0.0527591496989691,0.05135776812058499,0.978947443254307,3195,47,30,0.000856450179281568,0.00999649484478101,-9.981161797643523e-07,-0.00735872867345055
nhl,home_win,pooled,linear,False,crowd_pct,0.006571377919684013,0.022650202818754833,-0.03782997897417644,0.05097273481354447,0.7717297249117248,6949,109,32,0.0013653340313868262,0.0072975103880560345,5.174127859487078e-06,-0.0057405577181531735
nhl,home_win,restricted,linear,False,crowd_pct,-0.0013110847861190114,0.02721486697866588,-0.054671773301034315,0.05204960372879629,0.9615795811684351,3183,57,32,0.001429239942942553,0.005288772199910825,8.860328279471577e-06,0.0010091562841855264
