sport,outcome,coef,se,ci_low,ci_high,pvalue,n_obs,n_entities,n_treated_seasons,coef_treated_season_dummy,crowd_min,crowd_max,crowd_p99,raw_empty_mean,n_empty,raw_fans_mean,n_fans
nfl,home_margin,-0.03941046090194357,29.23857657807879,-57.69310316383622,57.61428224203234,0.9989258744376266,237,32,1,,0.0,0.3360649654923829,0.3187753241383697,-0.518796992481203,133,0.5384615384615384,104
nfl,home_win,-1.0188635696552497,0.7982520816521008,-2.5929338349729343,0.5552066956624349,0.20330552528030799,236,32,1,,0.0,0.3360649654923829,0.3187753241383697,0.49242424242424243,132,0.5192307692307693,104
mlb,home_margin,-0.3227674915100685,0.4901488018330967,-1.2838023946868447,0.6382674116667078,0.5102580286722338,3258,30,2,0.11921477560581162,0.0,1.0,0.9556346556089683,0.13765642775881684,879,0.15510718789407313,2379
mlb,home_win,-0.005474733312525793,0.05121213281016459,-0.10588637751654806,0.09493691089149647,0.9148725451215762,3258,30,2,-0.010531465041344858,0.0,1.0,0.9556346556089683,0.5415244596131968,879,0.539302227826818,2379
nba,home_margin,4.442785645314297,6.182916333930918,-7.690251756723455,16.57582304735205,0.4725816628896158,1029,29,1,,0.0,0.46297424536139575,0.3029607778870316,-0.06343283582089553,536,2.0,493
nba,home_win,0.36705649838802645,0.2454769450392377,-0.11465484859464714,0.8487678453707,0.1351584299553621,1029,29,1,,0.0,0.46297424536139575,0.3029607778870316,0.5093283582089553,536,0.5862068965517241,493
nhl,home_margin,-1.4138249764051531,0.8584486565089754,-3.0988588962385246,0.27120894342821833,0.09995357816244854,849,31,1,,0.0,0.399518099936894,0.28331862675217806,0.14944649446494465,542,0.44625407166123776,307
nhl,home_win,-0.28073040106550196,0.18262865977663606,-0.6392090172576432,0.07774821512663926,0.12464148335269809,849,31,1,,0.0,0.399518099936894,0.28331862675217806,0.5166051660516605,542,0.5602605863192183,307
