sport,outcome,dropped_season,coef,se,coef_base,se_base,delta,delta_over_se_base,n_obs,n_obs_base
nfl,home_margin,2018,0.673602813793979,1.2436692251561645,1.7053758626279605,1.1469176462774329,-1.0317730488339816,-0.8996051740792569,1225,1462
nfl,home_margin,2019,2.359492785032615,1.1582086056410423,1.7053758626279605,1.1469176462774329,0.6541169224046544,0.5703259728610255,1227,1462
nfl,home_margin,2021,1.7986637795561462,1.158621970492671,1.7053758626279605,1.1469176462774329,0.09328791692818572,0.08133793845702145,1208,1462
nfl,home_margin,2022,1.7297186011617252,1.1793659990921708,1.7053758626279605,1.1469176462774329,0.024342738533764674,0.021224486878176695,1213,1462
nfl,home_margin,2023,1.6191020918575243,1.1540778433942622,1.7053758626279605,1.1469176462774329,-0.08627377077043619,-0.07522228910720505,1212,1462
nfl,home_win,2018,0.007188169620580015,0.04259863564478005,0.04406517139648668,0.03697029211835191,-0.036877001775906665,-0.9974766133265434,1222,1458
nfl,home_win,2019,0.06427656577796298,0.03570393339553043,0.04406517139648668,0.03697029211835191,0.020211394381476303,0.5466928504858484,1223,1458
nfl,home_win,2021,0.05635380629287105,0.03823069600936082,0.04406517139648668,0.03697029211835191,0.012288634896384376,0.3323921503526434,1205,1458
nfl,home_win,2022,0.04068143149082775,0.036257432666345665,0.04406517139648668,0.03697029211835191,-0.0033837399056589265,-0.09152591748062631,1210,1458
nfl,home_win,2023,0.03876413627995662,0.03814733206510653,0.04406517139648668,0.03697029211835191,-0.005301035116530059,-0.14338634651736076,1208,1458
mlb,home_margin,2018,-0.2236632805002119,0.17572856708431842,-0.1797697457014873,0.16040963934451247,-0.0438935347987246,-0.2736340221079499,10369,12768
mlb,home_margin,2019,-0.17463173604933302,0.16988790477545523,-0.1797697457014873,0.16040963934451247,0.005138009652154274,0.0320305542307177,10406,12768
mlb,home_margin,2022,-0.20670273149399196,0.17281934806276902,-0.1797697457014873,0.16040963934451247,-0.026932985792504666,-0.1679012926066156,10382,12768
mlb,home_margin,2023,-0.11774668086647648,0.17208693751109072,-0.1797697457014873,0.16040963934451247,0.06202306483501081,0.3866542253224796,10373,12768
mlb,home_win,2018,-0.023398622079458198,0.01839410139339634,-0.020783280734608025,0.01557039355193096,-0.002615341344850173,-0.167968865791824,10369,12768
mlb,home_win,2019,-0.022040302803780006,0.01741701527272799,-0.020783280734608025,0.01557039355193096,-0.0012570220691719806,-0.08073155408561213,10406,12768
mlb,home_win,2022,-0.027205256128407018,0.015773496042627358,-0.020783280734608025,0.01557039355193096,-0.006421975393798993,-0.4124478531888215,10382,12768
mlb,home_win,2023,-0.01064717664313242,0.017078935899436435,-0.020783280734608025,0.01557039355193096,0.010136104091475605,0.6509857350534712,10373,12768
nba,home_margin,2018,1.2108367808741265,0.8937843474890211,1.0732384685631247,0.894718613129761,0.13759831231100184,0.15378948229284906,5611,6822
nba,home_margin,2019,1.0369738563312842,0.8977600187441747,1.0732384685631247,0.894718613129761,-0.03626461223184041,-0.0405318629786692,5612,6822
nba,home_margin,2020,1.0147042856784574,0.9082095006410521,1.0732384685631247,0.894718613129761,-0.058534182884667274,-0.06542189021854859,5870,6822
nba,home_margin,2022,1.4688750744060963,0.9407323452667458,1.0732384685631247,0.894718613129761,0.39563660584297167,0.4421910978905639,5611,6822
nba,home_margin,2023,0.7395045551779127,0.9075569422083009,1.0732384685631247,0.894718613129761,-0.33373391338521197,-0.37300432615098683,5613,6822
nba,home_win,2018,0.018983416197804765,0.025685446052394756,0.015725654025459463,0.025675224780530585,0.003257762172345302,0.12688349177825503,5611,6822
nba,home_win,2019,0.013999368225053353,0.025901419317378212,0.015725654025459463,0.025675224780530585,-0.0017262858004061105,-0.0672354698025914,5612,6822
nba,home_win,2020,0.016159255672348435,0.0263196603925787,0.015725654025459463,0.025675224780530585,0.0004336016468889717,0.016887939661496945,5870,6822
nba,home_win,2022,0.02641364443892984,0.026624183326609582,0.015725654025459463,0.025675224780530585,0.010687990413470377,0.41627641061880927,5611,6822
nba,home_win,2023,-0.0016761011400507,0.02597719588223814,0.015725654025459463,0.025675224780530585,-0.017401755165510163,-0.6777644719475189,5613,6822
nhl,home_margin,2018,-0.020279563069066264,0.12539460298576052,0.0030142396122629853,0.12033508860055464,-0.02329380268132925,-0.19357448398655921,5694,6942
nhl,home_margin,2019,6.522448992918672e-05,0.12333476582766434,0.0030142396122629853,0.12033508860055464,-0.0029490151223337986,-0.024506693406134296,5712,6942
nhl,home_margin,2020,0.02155193666203826,0.11703373031116213,0.0030142396122629853,0.12033508860055464,0.018537697049775276,0.15405063697846344,5894,6942
nhl,home_margin,2022,-0.04186281571023866,0.11893459644225246,0.0030142396122629853,0.12033508860055464,-0.04487705532250164,-0.37293407803494816,5656,6942
nhl,home_margin,2023,0.029818059546929707,0.12933074987961896,0.0030142396122629853,0.12033508860055464,0.026803819934666722,0.2227431769601338,5661,6942
nhl,home_win,2018,-0.0008677349478190372,0.025226771142946917,0.006691866039370741,0.023440017488728628,-0.007559600987189778,-0.3225083339133552,5694,6942
nhl,home_win,2019,0.00809161135835586,0.023426495082799387,0.006691866039370741,0.023440017488728628,0.0013997453189851178,0.0597160526718122,5712,6942
nhl,home_win,2020,0.010052857809956546,0.02234313825857485,0.006691866039370741,0.023440017488728628,0.003360991770585805,0.14338691394756733,5894,6942
nhl,home_win,2022,0.00103255991611561,0.02397172617921921,0.006691866039370741,0.023440017488728628,-0.005659306123255131,-0.24143779440337307,5656,6942
nhl,home_win,2023,0.005648648399305087,0.025062700963749757,0.006691866039370741,0.023440017488728628,-0.001043217640065654,-0.04450583881037187,5661,6942
