sport,outcome,coef_pre,se_pre,ci_low_pre,ci_high_pre,n_obs_pre,coef_post,se_post,ci_low_post,ci_high_post,n_obs_post,n_nulled
nfl,home_margin,1.7063810689333618,1.1412428667609011,-0.5323153208767175,3.945077458743441,1463,1.7053758626279605,1.1469176462774329,-0.5444536887123406,3.9552054139682618,1462,1
nfl,home_win,0.0464379321305588,0.0363657953355737,-0.0248984782972413,0.117774342558359,1459,0.0440651713964866,0.0369702921183519,-0.0284570845070545,0.1165874273000279,1458,1
mlb,home_margin,-0.1447685700775839,0.1606884828062995,-0.4597419093265265,0.1702047691713586,12871,-0.1797697457014873,0.1604096393445124,-0.4941967501260897,0.1346572587231151,12768,103
mlb,home_win,-0.0189347050080921,0.0157753980166783,-0.0498568327456722,0.0119874227294879,12871,-0.020783280734608,0.0155703935519309,-0.0513035924954939,0.0097370310262779,12768,103
nba,home_margin,1.055973260766064,0.893099005265591,-0.694780477619362,2.80672699915149,6830,1.0732384685631249,0.894718613129761,-0.6806905767621816,2.8271675138884307,6822,8
nba,home_win,0.0153893973075714,0.0256308316372155,-0.0348550594012769,0.0656338540164198,6830,0.0157256540254594,0.0256752247805305,-0.0346058377161766,0.0660571457670955,6822,8
nhl,home_margin,0.0076503593953387,0.1154520819707235,-0.2186711944000517,0.2339719131907292,6949,0.0030142396122629,0.1203350886005546,-0.2328795493846193,0.2389080286091453,6942,7
nhl,home_win,0.006571377919684,0.0226502028187548,-0.0378299789741764,0.0509727348135444,6949,0.0066918660393707,0.0234400174887286,-0.0392577784398364,0.0526415105185779,6942,7
