sport,scope,treated_mean,treated_p05,treated_p95,treated_share_zero,control_mean,control_p10,control_overlap,n_treated,n_control
nfl,all_treated,0.06387971701566406,0.0,0.23013820544044863,0.5810276679841897,0.972680862261213,0.9193943336490297,0.0,253,1304
mlb,all_treated,0.32035421615645293,0.0,0.8486663795903114,0.26466073073380414,0.6542145237639616,0.3309993768286482,0.7462251379777153,3257,9603
mlb,2020,0.0,0.0,0.0,1.0,0.6542145237639616,0.3309993768286482,0.0,862,9603
mlb,2021,0.43565498205493414,0.1319918918249839,0.8760934659936775,0.0,0.6542145237639616,0.3309993768286482,0.7841299593876914,2395,9603
nba,all_treated,0.07283391808298141,0.0,0.2164424905016626,0.5258620689655172,0.9214942633578221,0.7826336932542453,0.0022135194959986377,1044,5873
nhl,all_treated,0.0617013113029053,0.0,0.2270362317630816,0.6420323325635104,0.9206071937103576,0.7517413085042961,0.004203718674211803,866,6185
