scope,sport,coef,se,mde_80,n_obs,method,ci_low,ci_high,k,q,df,q_pvalue,i2,tau2
input,nfl,0.04406517139648668,0.03697029211835191,0.10351681793138535,1458,,,,,,,,,
input,mlb,-0.020783280734608025,0.01557039355193096,0.04359710194540668,12768,,,,,,,,,
input,nba,0.015725654025459463,0.025675224780530585,0.07189062938548563,6822,,,,,,,,,
input,nhl,0.006691866039370741,0.023440017488728628,0.06563204896844015,6942,,,,,,,,,
4sport,nfl+mlb+nba+nhl,-0.002130034543965762,0.011047586607751531,,27990,fe,-0.02378330429515876,0.01952323520722724,4.0,3.621787072532016,3.0,0.3053068484764062,0.17167963220359067,0.00011586639543572569
4sport,nfl+mlb+nba+nhl,0.0003296046809137863,0.012640364510098466,,27990,re,-0.024445509758879207,0.025104719120706782,4.0,3.621787072532016,3.0,0.3053068484764062,0.17167963220359067,0.00011586639543572569
3sport_ex_nhl,nfl+mlb+nba,-0.004649320463883959,0.012526091548076896,,21048,fe,-0.029200459898114678,0.019901818970346756,3.0,3.4396892348098778,2.0,0.17909397383601947,0.41855212390704644,0.00044178456049356104
3sport_ex_nhl,nfl+mlb+nba,0.0028303978235365143,0.018497292557510297,,21048,re,-0.03342429558918367,0.0390850912362567,3.0,3.4396892348098778,2.0,0.17909397383601947,0.41855212390704644,0.00044178456049356104
