sport,outcome,sample,hfa_full,hfa_reduced,crowd_effect,se,ci_low,ci_high,pvalue,n_full,n_reduced,n_obs,n_entities
mlb,home_margin,pooled,0.04424229894562433,0.1584068105807347,-0.11416451163511036,0.14204591405265216,-0.39256938732938057,0.16424036405915982,0.4215612645679667,9674,3289,12963,30
mlb,home_margin,restricted,0.029881718198796696,0.15840681058072173,-0.12852509238192503,0.15635642049847948,-0.43497804531054507,0.177927860546695,0.41107647928017743,4819,3289,8108,30
mlb,home_win,pooled,0.5284267107711429,0.5411979325022827,-0.012771221731139804,0.013076984579548737,-0.03840164053344099,0.012859197071161382,0.32875818306490356,9674,3289,12963,30
mlb,home_win,restricted,0.5326831292799329,0.5411979325022769,-0.00851480322234402,0.014513039481477369,-0.03695983791224752,0.019930231467559484,0.5574050708433413,4819,3289,8108,30
