sport,outcome,sample,trend,season_fe,reported,coef,se,ci_low,ci_high,pvalue,n_obs,n_dropped,n_entities,coef_elo_diff,coef_rest_diff,coef_away_travel_km,coef_season_trend
nfl,home_win,pooled,linear,False,crowd_pct,0.04406517139648668,0.03697029211835191,-0.028457084507054586,0.11658742730002794,0.23349664213136956,1458,100,33,0.0009251171281261603,0.006590080060922299,-1.6511691981210212e-05,-0.001740191246553066
nfl,home_win,restricted,linear,False,crowd_pct,-0.0007397844651947464,0.04119919111478278,-0.08163143447109611,0.08015186554070661,0.9856789474877716,724,49,33,0.0009306669806243245,0.0024341261721058595,-1.9330980932844897e-05,3.582096172451738e-05
mlb,home_win,pooled,linear,False,crowd_pct,-0.020783280734608025,0.01557039355193096,-0.05130359249549397,0.009737031026277918,0.18196737350552117,12768,195,30,0.0011957515509389682,0.005649868006164728,-7.107885498613718e-07,-0.0006421225868425987
mlb,home_win,restricted,linear,False,crowd_pct,-0.01372166403510039,0.02069500693628696,-0.05428931714050933,0.02684598907030855,0.5073227430151124,7974,134,30,0.0011074950959059854,0.011787332601485253,-1.0091712921767032e-06,0.0002039858653783841
nba,home_win,pooled,linear,False,crowd_pct,0.015725654025459463,0.025675224780530585,-0.03460583771617662,0.06605714576709554,0.5402383670685831,6822,103,30,0.000928399948506505,0.013343122506953303,-8.519377019677716e-06,-0.003411371636673247
nba,home_win,restricted,linear,False,crowd_pct,-0.0011995854075487374,0.026372035542925706,-0.05290764953605333,0.050508478720955846,0.9637219946226439,3192,50,30,0.0008538576603394096,0.010083744331893844,-1.3092745437259434e-06,-0.007209578085089285
nhl,home_win,pooled,linear,False,crowd_pct,0.006691866039370741,0.023440017488728628,-0.039257778439836445,0.052641510518577926,0.7752781300505678,6942,116,32,0.001370790905782173,0.007231462224243453,5.287853975941882e-06,-0.005757784789144693
nhl,home_win,restricted,linear,False,crowd_pct,-0.0013110847861190114,0.02721486697866588,-0.054671773301034315,0.05204960372879629,0.9615795811684351,3183,57,32,0.001429239942942553,0.005288772199910825,8.860328279471577e-06,0.0010091562841855264
