sport,outcome,sample,trend,season_fe,reported,coef,se,ci_low,ci_high,pvalue,n_obs,n_dropped,n_entities,coef_elo_diff,coef_rest_diff,coef_away_travel_km,coef_season_trend
nfl,home_margin,pooled,linear,False,crowd_pct,1.7053758626279605,1.1469176462774329,-0.5444536887123406,3.9552054139682618,0.1372570683684622,1462,96,33,0.033051272263829576,0.024924316684341384,-0.0004301781327687358,0.2725784720681111
nfl,home_margin,restricted,linear,False,crowd_pct,0.7833908047661405,1.2866172165472165,-1.742776628107631,3.309558237639912,0.5428073798482518,726,47,33,0.03600308493606695,-0.014826323220329408,-0.0004393372561357304,0.9229132324311167
nfl,home_win,pooled,linear,False,crowd_pct,0.04406517139648668,0.03697029211835191,-0.028457084507054586,0.11658742730002794,0.23349664213136956,1458,100,33,0.0009251171281261603,0.006590080060922299,-1.6511691981210212e-05,-0.001740191246553066
nfl,home_win,restricted,linear,False,crowd_pct,-0.0007397844651947464,0.04119919111478278,-0.08163143447109611,0.08015186554070661,0.9856789474877716,724,49,33,0.0009306669806243245,0.0024341261721058595,-1.9330980932844897e-05,3.582096172451738e-05
