sport,outcome,coef_shipped,se_shipped,coef_season_fe,se_season_fe,ci_low_season_fe,ci_high_season_fe,pvalue_season_fe,collinearity_r2,n_obs
nfl,home_margin,1.7053758626279605,1.1469176462774329,-11.785522058985567,8.462629820123093,-28.38612135820651,4.815077240235375,0.1639422132597934,0.9795573964629626,1462
nfl,home_win,0.04406517139648668,0.03697029211835191,-0.539019427576638,0.25118126546832475,-1.0317468275077,-0.046292027645575995,0.03204747833932475,0.9795573964629626,1458
mlb,home_margin,-0.1797697457014873,0.16040963934451247,-0.16397894208927172,0.20452205735567494,-0.5648729283670764,0.23691504418853299,0.42270298453803345,0.6373581626978158,12768
mlb,home_win,-0.020783280734608025,0.01557039355193096,-0.009147100359002867,0.02379907522335119,-0.05579686644962282,0.037502665731617084,0.7007277849236164,0.6373581626978158,12768
nba,home_margin,1.0732384685631247,0.894718613129761,-2.7719398394107158,2.0112636702278293,-6.7146477347237,1.170768055902268,0.16818451176237925,0.9257328308937608,6822
nba,home_win,0.015725654025459463,0.025675224780530585,-0.056422809226336634,0.0664487748099753,-0.18668325839334565,0.07383763994067238,0.3958459492791868,0.9257328308937608,6822
nhl,home_margin,0.0030142396122629853,0.12033508860055464,0.29998218220415884,0.2942960436922399,-0.2769286481725225,0.8768930125808402,0.3080862580204333,0.8869413555601189,6942
nhl,home_win,0.006691866039370741,0.023440017488728628,0.08372590652350947,0.05324044883400749,-0.02064176067685114,0.1880935737238701,0.11585741180073827,0.8869413555601189,6942
