sport,outcome,sample,trend,season_fe,reported,coef,se,ci_low,ci_high,pvalue,n_obs,n_dropped,n_entities,coef_elo_diff,coef_rest_diff,coef_away_travel_km,coef_season_trend
nhl,home_margin,pooled,linear,False,crowd_pct,0.0030142396122629853,0.12033508860055464,-0.23287954938461936,0.23890802860914534,0.9800168288385225,6942,116,32,0.008158733282592227,0.025895249076993202,9.47705415661653e-06,-0.023688919981378193
nhl,home_margin,restricted,linear,False,crowd_pct,-0.010082988883676315,0.1419676252723914,-0.2884415139244501,0.2682755361570975,0.9433838400500703,3183,57,32,0.007850249457882307,0.015809359051995608,2.1624787045045813e-05,-0.0030920290483055397
nhl,home_win,pooled,linear,False,crowd_pct,0.006691866039370741,0.023440017488728628,-0.039257778439836445,0.052641510518577926,0.7752781300505678,6942,116,32,0.001370790905782173,0.007231462224243453,5.287853975941882e-06,-0.005757784789144693
nhl,home_win,restricted,linear,False,crowd_pct,-0.0013110847861190114,0.02721486697866588,-0.054671773301034315,0.05204960372879629,0.9615795811684351,3183,57,32,0.001429239942942553,0.005288772199910825,8.860328279471577e-06,0.0010091562841855264
