sport,outcome,sample,hfa_full,hfa_reduced,crowd_effect,se,ci_low,ci_high,pvalue,n_full,n_reduced,n_obs,n_entities
nfl,home_margin,pooled,1.7540229885057377,0.1383399209486651,1.6156830675570726,1.196696684009542,-0.7297993335201394,3.9611654686342845,0.17697777792888547,1305,253,1558,33
nfl,home_margin,restricted,0.7865384615384592,0.13833992094862224,0.648198540589837,1.2696158570464635,-1.8402028134221855,3.1365998946018596,0.609668310498679,520,253,773,33
nfl,home_win,pooled,0.551963048498845,0.5039682539682558,0.04799479453058918,0.03674342733087872,-0.024020999706497806,0.12001058876767616,0.1914796512020187,1299,252,1551,33
nfl,home_win,restricted,0.5154440154440156,0.503968253968254,0.011475761475761645,0.03421272752492967,-0.05557995228598269,0.07853147523750598,0.7373054522475085,518,252,770,33
