sport,outcome,sample,trend,season_fe,reported,coef,se,ci_low,ci_high,pvalue,n_obs,n_dropped,n_entities,coef_elo_diff,coef_rest_diff,coef_away_travel_km,coef_season_trend
nba,home_margin,pooled,linear,False,crowd_pct,0.9068561398781771,0.9636767391057645,-0.9822563227629346,2.795968602519289,0.3467194169775376,6745,180,30,0.0314504841823856,0.5144029424752848,-8.200959534790531e-05,-0.02991760853492252
nba,home_margin,restricted,linear,False,crowd_pct,0.6287534797292874,0.959669395094465,-1.2529034119134286,2.510410371372003,0.5124026189256028,3115,127,30,0.02959838064327246,0.3538846069426677,0.0002410585106657669,-0.3515282456344251
nba,home_win,pooled,linear,False,crowd_pct,0.006394053097087203,0.026775172040502268,-0.04609378762635827,0.058881893820532674,0.8112638500938836,6745,180,30,0.0009295654999746004,0.014039779950375413,-7.928296281258741e-06,-0.003439642636916602
nba,home_win,restricted,linear,False,crowd_pct,-0.012276180761797371,0.02664174906882864,-0.06451357730380412,0.03996121578020938,0.6449837163396057,3115,127,30,0.0008538144859397957,0.011364074557622792,2.3036224727756982e-07,-0.007432826552885622
