sport,outcome,coef_pre,se_pre,ci_low_pre,ci_high_pre,n_obs_pre,coef_post,se_post,ci_low_post,ci_high_post,n_obs_post,n_nulled
nfl,home_margin,1.7053758626279605,1.1469176462774329,-0.5444536887123406,3.9552054139682618,1462,1.9282567327829176,1.1645506812340678,-0.3561705545224007,4.212684020088235,1456,6
nfl,home_win,0.0440651713964866,0.0369702921183519,-0.0284570845070545,0.1165874273000279,1458,0.050062091683874,0.0378086379613077,-0.0241049620761612,0.1242291454439093,1452,6
mlb,home_margin,-0.1797697457014873,0.1604096393445124,-0.4941967501260897,0.1346572587231151,12768,-0.1797697457014873,0.1604096393445124,-0.4941967501260897,0.1346572587231151,12768,0
mlb,home_win,-0.020783280734608,0.0155703935519309,-0.0513035924954939,0.0097370310262779,12768,-0.020783280734608,0.0155703935519309,-0.0513035924954939,0.0097370310262779,12768,0
nba,home_margin,1.0732384685631249,0.894718613129761,-0.6806905767621816,2.8271675138884307,6822,0.9068561398781771,0.9636767391057643,-0.9822563227629346,2.795968602519289,6745,77
nba,home_win,0.0157256540254594,0.0256752247805305,-0.0346058377161766,0.0660571457670955,6822,0.0063940530970872,0.0267751720405022,-0.0460937876263582,0.0588818938205326,6745,77
nhl,home_margin,0.0030142396122629,0.1203350886005546,-0.2328795493846193,0.2389080286091453,6942,0.0393729859998128,0.1307538601911813,-0.2169453802416657,0.2956913522412915,6854,89
nhl,home_win,0.0066918660393707,0.0234400174887286,-0.0392577784398364,0.0526415105185779,6942,0.0106850137775137,0.0252846195421483,-0.0388807303053362,0.0602507578603637,6854,89
