scope,sport,coef,se,mde_80,n_obs,method,ci_low,ci_high,k,q,df,q_pvalue,i2,tau2
input,nfl,0.05006209168387405,0.03780863796130775,0.1058641862916617,1452,,,,,,,,,
input,mlb,-0.020783280734608025,0.01557039355193096,0.04359710194540668,12768,,,,,,,,,
input,nba,0.006394053097087203,0.026775172040502268,0.07497048171340634,6745,,,,,,,,,
input,nhl,0.010685013777513777,0.02528461954214839,0.07079693471801549,6854,,,,,,,,,
4sport,nfl+mlb+nba+nhl,-0.0032213984337048983,0.011334848364605498,,27819,fe,-0.025437701228331677,0.01899490436092188,4.0,3.6897336674052763,3.0,0.2969750982558814,0.18693318531316008,0.00013877170733348856
4sport,nfl+mlb+nba+nhl,-0.000243667901435155,0.013228220162490612,,27819,re,-0.026170979419916755,0.025683643617046444,4.0,3.6897336674052763,3.0,0.2969750982558814,0.18693318531316008,0.00013877170733348856
3sport_ex_nhl,nfl+mlb+nba,-0.006718976480420974,0.012680389127540354,,20965,fe,-0.031572539170400066,0.018134586209558122,3.0,3.3111594060471385,2.0,0.1909813111655658,0.3959819643997147,0.00042405192703600465
3sport_ex_nhl,nfl+mlb+nba,0.0004902336867010546,0.018517375663545138,,20965,re,-0.035803822613847416,0.03678428998724953,3.0,3.3111594060471385,2.0,0.1909813111655658,0.3959819643997147,0.00042405192703600465
