sport,outcome,dropped_season,coef,se,coef_base,se_base,delta,delta_over_se_base,n_obs,n_obs_base
nfl,home_margin,2018,0.8880284379495533,1.2747934944601544,1.9282567327829174,1.1645506812340678,-1.040228294833364,-0.8932443315657503,1219,1456
nfl,home_margin,2019,2.601203512804461,1.1643282766113587,1.9282567327829174,1.1645506812340678,0.6729467800215436,0.5778595907122099,1221,1456
nfl,home_margin,2021,2.0329299078646397,1.1719916908139318,1.9282567327829174,1.1645506812340678,0.10467317508172225,0.08988288510621167,1202,1456
nfl,home_margin,2022,1.9585268471029713,1.197236591498085,1.9282567327829174,1.1645506812340678,0.030270114320053887,0.025992955744937454,1207,1456
nfl,home_margin,2023,1.8198401831777278,1.175293469198756,1.9282567327829174,1.1645506812340678,-0.10841654960518965,-0.0930973218703554,1206,1456
nfl,home_win,2018,0.01286085459128358,0.04360504921222377,0.05006209168387405,0.03780863796130775,-0.03720123709259047,-0.983934865113658,1216,1452
nfl,home_win,2019,0.07070650495620279,0.03627675666957035,0.05006209168387405,0.03780863796130775,0.020644413272328736,0.5460237232945451,1217,1452
nfl,home_win,2021,0.06258101523623512,0.03907703434593766,0.05006209168387405,0.03780863796130775,0.012518923552361068,0.33111278870115785,1199,1452
nfl,home_win,2022,0.04648653733446602,0.03716267845998739,0.05006209168387405,0.03780863796130775,-0.003575554349408032,-0.09456977405711228,1204,1452
nfl,home_win,2023,0.04512487398210109,0.038911591737636746,0.05006209168387405,0.03780863796130775,-0.00493721770177296,-0.13058438409829953,1202,1452
mlb,home_margin,2018,-0.2236632805002119,0.17572856708431842,-0.1797697457014873,0.16040963934451247,-0.0438935347987246,-0.2736340221079499,10369,12768
mlb,home_margin,2019,-0.17463173604933302,0.16988790477545523,-0.1797697457014873,0.16040963934451247,0.005138009652154274,0.0320305542307177,10406,12768
mlb,home_margin,2022,-0.20670273149399196,0.17281934806276902,-0.1797697457014873,0.16040963934451247,-0.026932985792504666,-0.1679012926066156,10382,12768
mlb,home_margin,2023,-0.11774668086647648,0.17208693751109072,-0.1797697457014873,0.16040963934451247,0.06202306483501081,0.3866542253224796,10373,12768
mlb,home_win,2018,-0.023398622079458198,0.01839410139339634,-0.020783280734608025,0.01557039355193096,-0.002615341344850173,-0.167968865791824,10369,12768
mlb,home_win,2019,-0.022040302803780006,0.01741701527272799,-0.020783280734608025,0.01557039355193096,-0.0012570220691719806,-0.08073155408561213,10406,12768
mlb,home_win,2022,-0.027205256128407018,0.015773496042627358,-0.020783280734608025,0.01557039355193096,-0.006421975393798993,-0.4124478531888215,10382,12768
mlb,home_win,2023,-0.01064717664313242,0.017078935899436435,-0.020783280734608025,0.01557039355193096,0.010136104091475605,0.6509857350534712,10373,12768
nba,home_margin,2018,1.0384502629159698,0.9571925359042375,0.9068561398781771,0.9636767391057645,0.1315941230377926,0.136554217506489,5534,6745
nba,home_margin,2019,0.871489985839944,0.9709098660638659,0.9068561398781771,0.9636767391057645,-0.03536615403823318,-0.03669918822680196,5535,6745
