sport,outcome,sample,trend,season_fe,reported,coef,se,ci_low,ci_high,pvalue,n_obs,n_dropped,n_entities,coef_elo_diff,coef_rest_diff,coef_away_travel_km,coef_season_trend
nfl,home_win,pooled,linear,False,crowd_pct,0.05006209168387405,0.03780863796130775,-0.024104962076161203,0.12422914544390931,0.18568669221809708,1452,106,33,0.00091922814578581,0.006402905728965964,-1.6352897875057824e-05,-0.0017441356416897584
nfl,home_win,restricted,linear,False,crowd_pct,0.005016754812590619,0.04204870344856614,-0.07754413909474117,0.08757764871992241,0.9050664307898086,718,55,33,0.000918367612408305,0.002057165195726698,-1.8965219971528838e-05,5.4249759551811036e-05
mlb,home_win,pooled,linear,False,crowd_pct,-0.020783280734608025,0.01557039355193096,-0.05130359249549397,0.009737031026277918,0.18196737350552117,12768,195,30,0.0011957515509389682,0.005649868006164728,-7.107885498613718e-07,-0.0006421225868425987
mlb,home_win,restricted,linear,False,crowd_pct,-0.01372166403510039,0.02069500693628696,-0.05428931714050933,0.02684598907030855,0.5073227430151124,7974,134,30,0.0011074950959059854,0.011787332601485253,-1.0091712921767032e-06,0.0002039858653783841
nba,home_win,pooled,linear,False,crowd_pct,0.006394053097087203,0.026775172040502268,-0.04609378762635827,0.058881893820532674,0.8112638500938836,6745,180,30,0.0009295654999746004,0.014039779950375413,-7.928296281258741e-06,-0.003439642636916602
nba,home_win,restricted,linear,False,crowd_pct,-0.012276180761797371,0.02664174906882864,-0.06451357730380412,0.03996121578020938,0.6449837163396057,3115,127,30,0.0008538144859397957,0.011364074557622792,2.3036224727756982e-07,-0.007432826552885622
nhl,home_win,pooled,linear,False,crowd_pct,0.010685013777513777,0.02528461954214839,-0.03888073030533621,0.06025075786036376,0.6726081446195638,6854,204,32,0.0014034737792910901,0.007421034009146085,6.642762660949633e-06,-0.005759858280432001
nhl,home_win,restricted,linear,False,crowd_pct,-0.002524344546166883,0.027787557239202704,-0.057008520792390924,0.05195983170005716,0.9276221629356622,3095,145,32,0.001480645464589812,0.00554423968903242,1.2236686241204462e-05,0.0008587352275199697
