outcome,corr_crowd_travel_treated,coef_with_travel,coef_without_travel,delta,n_obs_with_travel,n_obs_without_travel
home_margin,-0.14306765334935603,0.03937298599981288,0.048836993918102076,0.009464007918289198,6854,6854
home_win,-0.14306765334935603,0.010685013777513777,0.014585633422233178,0.0039006196447194004,6854,6854
