sport,outcome,treated_year,coef,se,ci_low,ci_high,pvalue,n_obs
mlb,home_margin,2020,0.06738072273086522,0.17363301651086788,-0.2729658314278703,0.4077272768896007,0.697975108835297,12871
mlb,home_margin,2021,0.12040837962668728,0.11478995973674307,-0.10459702564411939,0.34541378489749397,0.29422308195514524,12871
mlb,home_win,2020,0.01566727706978021,0.017165548731411007,-0.017979753191966805,0.049314307331527224,0.3614088831570288,12871
mlb,home_win,2021,0.010103596325584283,0.010463134026918326,-0.010405703595146946,0.03061289624631551,0.33424371414400156,12871
