sport,outcome,sd_season,mean_sampling_se,sd_true,sd_true_censored,treated_se,floor,hfa,mde_naive,ratio_naive,mde_floor,ratio_floor,floor_over_naive
nfl,home_margin,2.046648200790906,1.0918855535254701,1.731055977085383,False,1.0516117492086638,2.0254486087967614,1.7540229885057472,2.9445128977842585,1.6787196730486924,5.671256104630931,3.233284935143453,1.9260422017164682
nfl,home_win,0.07226861528727864,0.03702750600336625,0.06206219908053017,False,0.03225963281926828,0.06994569653913936,0.051963048498845255,0.09032697189395118,1.7382923924480387,0.1958479503095902,3.768984999291226,2.1682111799289188
mlb,home_margin,0.11047036556733573,0.12557335926784244,0.0,True,0.0939213316955622,0.0939213316955622,0.04294415195623,0.26297972874757414,6.12376113552344,0.26297972874757414,6.12376113552344,1.0
mlb,home_win,0.011573842081545571,0.013790866587076091,0.0,True,0.008871910709310173,0.008871910709310173,0.028233715288531025,0.024841349986068482,0.8798470102926704,0.024841349986068482,0.8798470102926704,1.0
nba,home_margin,0.9198730579289549,0.6352949636119051,0.665256906700648,False,0.7999022492722538,1.0403895233535012,2.2604999149804454,2.2397262979623105,0.9908101668659808,2.913090665389803,1.288693109911045,1.3006458280371649
nba,home_win,0.030491477499525726,0.019728021441896514,0.02324941655380098,False,0.022580959105556447,0.03241041629197267,0.07048121067845603,0.06322668549555804,0.8970715015666513,0.09074916561752348,1.2875653630799897,1.4352984804794016
nhl,home_margin,0.03459467418309528,0.10564090778624827,0.0,True,0.10263930717932322,0.10263930717932322,0.25387596899224807,0.287390060102105,1.1320097023869173,0.287390060102105,1.1320097023869173,1.0
nhl,home_win,0.011931892703337759,0.020431063387135392,0.0,True,0.01996177649074785,0.01996177649074785,0.03827519379844957,0.05589297417409397,1.4602923885484822,0.05589297417409397,1.4602923885484822,1.0
