sport,season,covid_era,n_games,n_games_raw,home_win_pct,home_win_se,mean_home_margin,home_margin_se
nfl,2018,False,253,256.0,0.6055776892430279,0.030848127629136853,2.343873517786561,0.901834323926959
nfl,2019,False,251,256.0,0.52,0.0315974682530104,-0.04780876494023904,0.938384016523759
nfl,2020,True,253,256.0,0.503968253968254,0.03149604743156327,0.1383399209486166,0.8987251263494146
nfl,2021,False,269,272.0,0.5111940298507462,0.030534705828918415,1.5650557620817844,0.9377663044372138
nfl,2022,False,265,271.0,0.5665399239543726,0.030557086046957498,2.1245283018867926,0.7571546538836194
nfl,2023,False,267,272.0,0.5580524344569289,0.030392557415726874,2.7116104868913857,0.8876258938955521
nfl,pooled_fullcrowd,False,1305,,0.5519630484988453,0.013797720510788966,1.7540229885057472,0.3966724838075784
mlb,2018,False,2432,2433.0,0.5279605263157895,0.010122973501069174,0.15625,0.0908993541510895
mlb,2019,False,2395,2400.0,0.5323590814196242,0.010195436570757607,-0.0041753653444676405,0.09466154508263169
mlb,2020,True,863,894.0,0.5492468134414832,0.01693744031868701,0.1842410196987254,0.15881820209946737
mlb,2021,True,2435,2437.0,0.5379876796714579,0.010103304930098153,0.1457905544147844,0.09086593732749845
mlb,2022,False,2429,2431.0,0.5327295183202965,0.010123339382811417,0.05887196377109922,0.08941018731517189
mlb,2023,False,2431,2436.0,0.5199506375976964,0.010132847971064606,-0.03990127519539284,0.09167511340364069
mlb,pooled_fullcrowd,False,9687,,0.528233715288531,0.005072030528735317,0.04294415195623,0.04583002944244101
nba,2018,False,1227,1230.0,0.5794621026894865,0.014092654575625911,2.1255093724531378,0.3899934694070788
nba,2019,False,1227,1230.0,0.5916870415647921,0.01403202433488763,2.719641401792991,0.41176058286741285
nba,2020,False,968,1059.0,0.5526859504132231,0.015981141734735926,2.2076446280991737,0.45732587550942566
nba,2021,True,1044,1080.0,0.5469348659003831,0.015406283187397922,0.9243295019157088,0.47064317652091947
nba,2022,False,1230,1230.0,0.5439024390243903,0.01420158515850953,1.7227642276422763,0.43659287287129317
nba,2023,False,1229,1230.0,0.580960130187144,0.014074238170552346,2.5166802278275022,0.3897108668495987
nba,pooled_fullcrowd,False,5881,,0.570481210678456,0.006454850175713047,2.2604999149804454,0.18610534653236274
nhl,2018,False,1266,1271.0,0.5631911532385466,0.013939807358363882,0.3104265402843602,0.06963196975421289
nhl,2019,False,1246,1271.0,0.536115569823435,0.014127817851751562,0.30096308186195825,0.07255455503235952
nhl,2020,False,1065,1082.0,0.5314553990610329,0.015290936217062798,0.23849765258215963,0.07566419975927209
nhl,2021,True,866,868.0,0.5323325635103926,0.016955130479611592,0.26212471131639725,0.08681287064589044
nhl,2022,False,1309,1312.0,0.5370511841100076,0.01378175435350619,0.2475171886936593,0.07354060729329005
nhl,2023,False,1306,1312.0,0.5229709035222052,0.01382100454413553,0.17304747320061256,0.072704087561394
nhl,pooled_fullcrowd,False,6192,,0.5382751937984496,0.0063354623300905695,0.25387596899224807,0.03258493341224417
