sport,outcome,sample,hfa_full,hfa_reduced,crowd_effect,se,ci_low,ci_high,pvalue,n_full,n_reduced,n_obs,n_entities
nfl,home_win,pooled,0.551963048498845,0.5039682539682558,0.04799479453058918,0.03674342733087872,-0.024020999706497806,0.12001058876767616,0.1914796512020187,1299,252,1551,33
nfl,home_win,restricted,0.5154440154440156,0.503968253968254,0.011475761475761645,0.03421272752492967,-0.05557995228598269,0.07853147523750598,0.7373054522475085,518,252,770,33
mlb,home_win,pooled,0.5282337152885366,0.5409338993329299,-0.012700184044393282,0.01292435934782661,-0.03803146288938702,0.012631094800600455,0.3257773525453278,9687,3298,12985,30
mlb,home_win,restricted,0.5325456053067976,0.5409338993329232,-0.008388294026125644,0.014369932388109347,-0.03655284396709561,0.019776255914844325,0.5593957337861036,4824,3298,8122,30
nba,home_win,pooled,0.5704812106784538,0.546934865900384,0.023546344778069824,0.03016164006757888,-0.03556938346904502,0.08266207302518468,0.4349954932900755,5881,1044,6925,30
nba,home_win,restricted,0.5477707006369432,0.5469348659003836,0.0008358347365595951,0.02503489341694365,-0.04823165471744885,0.04990332419056803,0.9733661436089837,2198,1044,3242,30
nhl,home_win,pooled,0.5382751937984465,0.5323325635103897,0.005942630288056793,0.02244937758001877,-0.038057341244120954,0.049942601820234536,0.7912309670255553,6192,866,7058,32
nhl,home_win,restricted,0.5345408593091815,0.5323325635103936,0.0022082957987878526,0.022921346592075956,-0.04271671799884093,0.04713330959641664,0.9232486977510013,2374,866,3240,32
