scope,sport,coef,se,mde_80,n_obs,method,ci_low,ci_high,k,q,df,q_pvalue,i2,tau2
input,nfl,0.04643793213055885,0.03636579533557371,0.10182422693960637,1459,,,,,,,,,
input,mlb,-0.018972636117505617,0.016005425832970276,0.04481519233231677,12893,,,,,,,,,
input,nba,0.015389397307571433,0.02563083163721554,0.07176632858420351,6830,,,,,,,,,
input,nhl,0.006571377919684019,0.022650202818754833,0.06342056789251353,6949,,,,,,,,,
4sport,nfl+mlb+nba+nhl,-0.0003335676918608966,0.011089794233316316,,28131,fe,-0.022069564389160877,0.02140242900543908,4.0,3.479567603048793,3.0,0.3234218190798261,0.137823907381077,8.824363407972953e-05
4sport,nfl+mlb+nba+nhl,0.0014224209439121563,0.01229295651128189,,28131,re,-0.022671773818200347,0.025516615706024662,4.0,3.479567603048793,3.0,0.3234218190798261,0.137823907381077,8.824363407972953e-05
3sport_ex_nhl,nfl+mlb+nba,-0.002510721011712168,0.012718516894014455,,21182,fe,-0.027439014123980497,0.022417572100556164,3.0,3.357330710748145,2.0,0.18662288513058614,0.40428865300722144,0.0004176742846775949
3sport_ex_nhl,nfl+mlb+nba,0.004299223754714115,0.018290230742895146,,21182,re,-0.03154962850136037,0.040148076010788604,3.0,3.357330710748145,2.0,0.18662288513058614,0.40428865300722144,0.0004176742846775949
