sport,outcome,coef,se,ci_low,ci_high,pvalue,n_obs,n_entities,n_treated_seasons,coef_treated_season_dummy,crowd_min,crowd_max,crowd_p99,raw_empty_mean,n_empty,raw_fans_mean,n_fans
nfl,home_margin,-0.03941046090194169,29.238576578078785,-57.69310316383621,57.61428224203233,0.9989258744376266,237,32,1,,0.0,0.3360649654923829,0.3187753241383697,-0.518796992481203,133,0.5384615384615384,104
nfl,home_win,-1.0188635696552504,0.7982520816521008,-2.5929338349729347,0.5552066956624342,0.20330552528030754,236,32,1,,0.0,0.3360649654923829,0.3187753241383697,0.49242424242424243,132,0.5192307692307693,104
mlb,home_margin,-0.34968246766083294,0.49328430521226624,-1.316864141460803,0.6174992061391371,0.47844618849188914,3267,30,2,0.1389549083388051,0.0,1.0,0.9555520898315656,0.13295454545454546,880,0.15333054042731462,2387
mlb,home_win,-0.009175088124286157,0.052101664475477504,-0.11133073046419921,0.09298055421562688,0.8602266395904021,3267,30,2,-0.007544183019972668,0.0,1.0,0.9555520898315656,0.5409090909090909,880,0.5391705069124424,2387
nba,home_margin,4.442785645314294,6.182916333930917,-7.690251756723456,16.575823047352046,0.472581662889616,1029,29,1,,0.0,0.46297424536139575,0.3029607778870316,-0.06343283582089553,536,2.0,493
nba,home_win,0.36705649838802645,0.24547694503923767,-0.11465484859464709,0.8487678453706999,0.1351584299553621,1029,29,1,,0.0,0.46297424536139575,0.3029607778870316,0.5093283582089553,536,0.5862068965517241,493
nhl,home_margin,-1.4138249764051511,0.8584486565089753,-3.0988588962385224,0.2712089434282201,0.09995357816244899,849,31,1,,0.0,0.399518099936894,0.28331862675217806,0.14944649446494465,542,0.44625407166123776,307
nhl,home_win,-0.2807304010655018,0.18262865977663606,-0.639209017257643,0.07774821512663943,0.12464148335269831,849,31,1,,0.0,0.399518099936894,0.28331862675217806,0.5166051660516605,542,0.5602605863192183,307
