sport,outcome,sample,trend,season_fe,reported,coef,se,ci_low,ci_high,pvalue,n_obs,n_dropped,n_entities,coef_elo_diff,coef_rest_diff,coef_away_travel_km,coef_season_trend
nfl,home_margin,pooled,linear,False,crowd_pct,1.7063810689333614,1.1412428667609011,-0.532315320876718,3.945077458743441,0.1350848694325988,1463,95,33,0.03305254925834767,0.024935018159679547,-0.0004300413478224496,0.27243738007205676
nfl,home_margin,restricted,linear,False,crowd_pct,0.7833908047661401,1.2866172165472163,-1.742776628107631,3.3095582376399113,0.5428073798482518,726,47,33,0.036003084936066944,-0.014826323220329462,-0.0004393372561357303,0.9229132324311167
nfl,home_win,pooled,linear,False,crowd_pct,0.04643793213055885,0.03636579533557371,-0.024898478297241365,0.11777434255835906,0.2018224062295959,1459,99,33,0.0009281120426793384,0.006615357343215645,-1.618945413981236e-05,-0.0020724265422841655
nfl,home_win,restricted,linear,False,crowd_pct,-0.0007397844651947841,0.04119919111478277,-0.08163143447109612,0.08015186554070657,0.985678947487771,724,49,33,0.0009306669806243245,0.002434126172105859,-1.9330980932844907e-05,3.58209617245341e-05
