sport,outcome,sample,trend,season_fe,reported,coef,se,ci_low,ci_high,pvalue,n_obs,n_dropped,n_entities,coef_elo_diff,coef_rest_diff,coef_away_travel_km,coef_season_trend
nfl,home_win,pooled,linear,False,crowd_pct,0.04643793213055885,0.03636579533557371,-0.024898478297241365,0.11777434255835906,0.2018224062295959,1459,99,33,0.0009281120426793384,0.006615357343215645,-1.618945413981236e-05,-0.0020724265422841655
nfl,home_win,restricted,linear,False,crowd_pct,-0.0007397844651947841,0.04119919111478277,-0.08163143447109612,0.08015186554070657,0.985678947487771,724,49,33,0.0009306669806243245,0.002434126172105859,-1.9330980932844907e-05,3.58209617245341e-05
mlb,home_win,pooled,linear,False,crowd_pct,-0.018972636117505617,0.016005425832970276,-0.05034564754462914,0.012400375309617906,0.23588606963745362,12893,92,30,0.0012069724497173772,0.007146036443843337,-1.617733874409429e-06,-0.0008473738219826526
mlb,home_win,restricted,linear,False,crowd_pct,-0.012206556901399454,0.02085191532972071,-0.05308172490755253,0.02866861110475362,0.5583002244450403,8060,62,30,0.001116632366578288,0.012787747360107082,-2.0649399071404448e-06,0.0001397599210194486
nba,home_win,pooled,linear,False,crowd_pct,0.015389397307571433,0.02563083163721554,-0.034855059401276964,0.06563385401641983,0.5482429192324403,6830,95,30,0.0009302565633154438,0.013406686369589256,-8.424949180350064e-06,-0.003436735640641376
nba,home_win,restricted,linear,False,crowd_pct,-0.0007006907891920708,0.026550752802376117,-0.05275914969896912,0.05135776812058498,0.9789474432543066,3195,47,30,0.0008564501792815679,0.009996494844781009,-9.981161797643506e-07,-0.007358728673450553
nhl,home_win,pooled,linear,False,crowd_pct,0.006571377919684019,0.022650202818754833,-0.037829978974176434,0.050972734813544474,0.7717297249117245,6949,109,32,0.001365334031386827,0.007297510388056033,5.17412785948708e-06,-0.005740557718153174
nhl,home_win,restricted,linear,False,crowd_pct,-0.0013110847861189953,0.02721486697866588,-0.054671773301034295,0.05204960372879631,0.9615795811684356,3183,57,32,0.0014292399429425531,0.00528877219991083,8.860328279471577e-06,0.0010091562841855173
