sport,scope,treated_mean,treated_p05,treated_p95,treated_share_zero,control_mean,control_p10,control_overlap,n_treated,n_control
nfl,all_treated,0.06387971701566406,0.0,0.23013820544044863,0.5810276679841897,0.9719355129414726,0.9192412908316081,0.0007662835249042146,253,1305
mlb,all_treated,0.31750874654724076,0.0,0.8476512522648817,0.2713765918738629,0.6492210570518963,0.3212497859108385,0.7465675647775369,3298,9687
mlb,2020,0.0,0.0,0.0,1.0,0.6492210570518963,0.3212497859108385,0.00774233508826262,863,9687
mlb,2021,0.43003854049806983,0.11492571885691968,0.8727379186066176,0.013141683778234086,0.6492210570518963,0.3212497859108385,0.7737173531537112,2435,9687
nba,all_treated,0.07283391808298141,0.0,0.2164424905016626,0.5258620689655172,0.9202407428499387,0.7808156407514892,0.0035708212888964463,1044,5881
nhl,all_treated,0.0617013113029053,0.0,0.2270362317630816,0.6420323325635104,0.9195664556037728,0.7502458599487207,0.005329457364341085,866,6192
