sport,outcome,sample,trend,season_fe,reported,coef,se,ci_low,ci_high,pvalue,n_obs,n_dropped,n_entities,coef_elo_diff,coef_rest_diff,coef_away_travel_km,coef_season_trend
mlb,home_margin,pooled,linear,False,crowd_pct,-0.14016479533780624,0.16246744683192407,-0.45862511743019396,0.1782955267545815,0.3883045464599244,12893,92,30,0.012762798482640957,0.11759640572811536,-2.9752537010055e-05,-0.01923123048588575
mlb,home_margin,restricted,linear,False,crowd_pct,-0.1007975135142555,0.19302037052791293,-0.4791675552673472,0.27757252823883616,0.6015372908540741,8060,62,30,0.011875030951658741,0.1613078938740561,-3.891429040255494e-05,0.02817012369542022
mlb,home_win,pooled,linear,False,crowd_pct,-0.018972636117505617,0.016005425832970276,-0.05034564754462914,0.012400375309617906,0.23588606963745362,12893,92,30,0.0012069724497173772,0.007146036443843337,-1.617733874409429e-06,-0.0008473738219826526
mlb,home_win,restricted,linear,False,crowd_pct,-0.012206556901399454,0.02085191532972071,-0.05308172490755253,0.02866861110475362,0.5583002244450403,8060,62,30,0.001116632366578288,0.012787747360107082,-2.0649399071404448e-06,0.0001397599210194486
