sport,outcome,season,is_treated,coef,se,n_obs,ri_pvalue,ri_pvalue_floor
nfl,home_margin,2018,False,3.697368624841549,1.1650633703471254,1463,0.3333333333333333,0.16666666666666666
nfl,home_margin,2019,False,-1.619938291365515,0.9282370871105434,1463,0.3333333333333333,0.16666666666666666
nfl,home_margin,2020,True,-1.8020957418106693,1.0516117492086638,1463,0.3333333333333333,0.16666666666666666
nfl,home_margin,2021,False,-0.028218859838486033,0.9520674195395268,1463,0.3333333333333333,0.16666666666666666
nfl,home_margin,2022,False,0.2314485820849541,0.9930913040434725,1463,0.3333333333333333,0.16666666666666666
nfl,home_margin,2023,False,1.3886167668060805,1.3913078899311033,1463,0.3333333333333333,0.16666666666666666
nfl,home_win,2018,False,0.1288638867517225,0.03833208975875827,1459,0.3333333333333333,0.16666666666666666
nfl,home_win,2019,False,-0.048327528312136346,0.033164868827835016,1459,0.3333333333333333,0.16666666666666666
nfl,home_win,2020,True,-0.05077083345433473,0.03225963281926828,1459,0.3333333333333333,0.16666666666666666
nfl,home_win,2021,False,-0.042094529179322625,0.027185040650147724,1459,0.3333333333333333,0.16666666666666666
nfl,home_win,2022,False,0.03459076517897475,0.039236177997009014,1459,0.3333333333333333,0.16666666666666666
nfl,home_win,2023,False,0.04995331998187729,0.048350507409310295,1459,0.3333333333333333,0.16666666666666666
mlb,home_margin,2018,False,0.08768294943306083,0.12430661786874148,12893,0.4,0.2
mlb,home_margin,2019,False,-0.16035867381980295,0.11044188147020552,12893,0.4,0.2
mlb,home_margin,2020,True,0.035758188887807095,0.1712293533134385,12893,0.4,0.2
mlb,home_margin,2021,True,0.11429932780328858,0.11232690734394492,12893,0.4,0.2
mlb,home_margin,2022,False,0.025801002295625274,0.10109372547239444,12893,0.4,0.2
mlb,home_margin,2023,False,-0.11234148202387297,0.12167867536564544,12893,0.4,0.2
mlb,home_win,2018,False,-0.012337825307471913,0.016146965180220886,12893,0.4,0.2
mlb,home_win,2019,False,-0.0007744872940342402,0.01335060194324768,12893,0.4,0.2
mlb,home_win,2020,True,0.012621685166147603,0.01721032659716674,12893,0.4,0.2
mlb,home_win,2021,True,0.008931676460726205,0.010353616558746786,12893,0.4,0.2
mlb,home_win,2022,False,0.00341771614050585,0.011187260962292467,12893,0.4,0.2
mlb,home_win,2023,False,-0.016421144664375165,0.013176396521497921,12893,0.4,0.2
nba,home_margin,2018,False,-0.37862531972684826,0.6156464215028357,6830,0.3333333333333333,0.16666666666666666
nba,home_margin,2019,False,0.8231610445501286,0.4958069224833677,6830,0.3333333333333333,0.16666666666666666
nba,home_margin,2020,False,0.30156894389326444,0.5668359881213095,6830,0.3333333333333333,0.16666666666666666
nba,home_margin,2021,True,-1.1383181971090754,0.7999022492722538,6830,0.3333333333333333,0.16666666666666666
nba,home_margin,2022,False,-0.5757148198382351,0.5456730945595241,6830,0.3333333333333333,0.16666666666666666
nba,home_margin,2023,False,1.3080527688887174,0.7333807688409857,6830,0.3333333333333333,0.16666666666666666
nba,home_win,2018,False,-0.0017733184375583052,0.020976021502952993,6830,0.6666666666666666,0.16666666666666666
nba,home_win,2019,False,0.027933824800795905,0.016299700381379595,6830,0.6666666666666666,0.16666666666666666
nba,home_win,2020,False,-0.014719552470953223,0.019666158079567553,6830,0.6666666666666666,0.16666666666666666
nba,home_win,2021,True,-0.016483126117894667,0.022580959105556447,6830,0.6666666666666666,0.16666666666666666
nba,home_win,2022,False,-0.029527608605950915,0.01609022416799644,6830,0.6666666666666666,0.16666666666666666
nba,home_win,2023,False,0.05046879436417226,0.02177021974952825,6830,0.6666666666666666,0.16666666666666666
nhl,home_margin,2018,False,-0.03639831791128377,0.12004434888786777,6949,0.5,0.16666666666666666
nhl,home_margin,2019,False,0.024719247869927897,0.09411032656463839,6949,0.5,0.16666666666666666
nhl,home_margin,2020,False,-0.016746467969923386,0.09651180863223528,6949,0.5,0.16666666666666666
nhl,home_margin,2021,True,0.03035001640443021,0.10263930717932322,6949,0.5,0.16666666666666666
nhl,home_margin,2022,False,0.02404683586081766,0.0981384019009365,6949,0.5,0.16666666666666666
nhl,home_margin,2023,False,-0.048506714568562426,0.119214540262563,6949,0.5,0.16666666666666666
nhl,home_win,2018,False,0.019833915429943123,0.023917831918201217,6949,0.8333333333333334,0.16666666666666666
nhl,home_win,2019,False,-0.012794917937598141,0.018868286358523043,6949,0.8333333333333334,0.16666666666666666
nhl,home_win,2020,False,-0.009121714144313463,0.016797987686894365,6949,0.8333333333333334,0.16666666666666666
nhl,home_win,2021,True,0.002473254814455327,0.01996177649074785,6949,0.8333333333333334,0.16666666666666666
nhl,home_win,2022,False,0.008126348285127651,0.019684877266664142,6949,0.8333333333333334,0.16666666666666666
nhl,home_win,2023,False,-0.002381247633449271,0.022546748967446628,6949,0.8333333333333334,0.16666666666666666
