sport,outcome,sample,hfa_full,hfa_reduced,crowd_effect,se,ci_low,ci_high,pvalue,n_full,n_reduced,n_obs,n_entities
mlb,home_margin,pooled,0.04294415195623779,0.15585203153424257,-0.11290787957800479,0.14119738171115057,-0.3896496624432144,0.16383390328720482,0.42391609987933243,9687,3298,12985,30
mlb,home_margin,restricted,0.027570480928690834,0.15585203153426025,-0.12828155060556942,0.1557480074350949,-0.43354203584223194,0.17697893463109313,0.4101395362801341,4824,3298,8122,30
mlb,home_win,pooled,0.5282337152885366,0.5409338993329299,-0.012700184044393282,0.01292435934782661,-0.03803146288938702,0.012631094800600455,0.3257773525453278,9687,3298,12985,30
mlb,home_win,restricted,0.5325456053067976,0.5409338993329232,-0.008388294026125644,0.014369932388109347,-0.03655284396709561,0.019776255914844325,0.5593957337861036,4824,3298,8122,30
